cluster_name,attempts,start_ts,end_ts,failed,completed,vm_count,build_name,with_conda,with_conda_version,with_docker,with_docker_version,with_flavor,with_foundation,with_foundation_version,with_gemfire,with_gemfire_version,with_image,with_java_version,with_kubernetes,with_kubernetes_version,with_memcached,with_memcached_version,with_oracle,with_oracle_version,with_os_version,with_postgresql,with_postgresql_version,with_tibco,with_tibco_version,with_ulticom,with_ulticom_version
rusachev.20181204165859,1,1543932132939,1543932389927,False,True,1,20181203_123450_Proj_1880126601,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.8.0_152,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
sdmitry.20190125165303,2,1548424453062,1548425008880,False,True,1,20190125_151120_Proj_73134446,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,8.2.1,_default_,1.8.0_74,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
kirille.20181205095940,1,1543993602820,1543994069258,False,True,9,20181205_095815_Proj_189425416,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.8.0_121,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
drodionov.20181217172819,1,1545057372117,1545057749888,False,True,5,20181217_172757_Proj_189425416,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.8.0_121,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
edrojdina.20181206140532,1,1544094492621,1544094636868,True,True,1,20181206_134409_Proj_1027219150,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,8.2.1,_default_,1.7.0_51,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
nikolayk.20181225093155,10,1545719542327,1545721173360,True,True,1,20181225_000221_Proj_189425416,False,4.5.11,True,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.8.0_121,True,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
sdmitry.20190123132337,1,1548240012934,1548240596690,False,True,1,20190123_132242_Proj_73134446,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,8.2.1,_default_,1.8.0_74,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
igarus.20190116181604,1,1547652372791,1547653691342,False,True,14,20190116_181508_Proj_2696985,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,True,1.3-amdocs,_default_,1.8.0_152,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,True,9s65
edrojdina.20181217141148,1,1545046812489,1545047532563,False,True,3,20181214_171943_Proj_1880126601,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,47-amdocs,_default_,1.8.0_152,False,1.10.4,False,_default_,True,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
sdmitry.20190118105502,1,1547799992963,1547800405780,False,True,1,20190118_105240_Proj_73134446,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,True,8.2.1,_default_,1.8.0_74,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
sergeyz.20181220195537,1,1545325452770,1545326351951,False,True,10,20181219_165445_Proj_1880126601,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,47-amdocs,_default_,1.8.0_152,False,1.10.4,False,_default_,True,11.2.0,rhel7.4,False,9.5,True,8.4.5,False,_default_
ekorsanov.20181205123043,1,1544003082719,1544003522604,False,True,1,20181205_123012_Proj_1880126601,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.8.0_152,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
sergeygo.20181226105345,1,1545810862840,1545811170339,False,True,1,20181225_201002_Proj_73134446,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,True,10.0.0.pb02,True,8.2.1,_default_,1.8.0_74,False,1.10.4,False,_default_,True,11.2.0,rhel7.3,False,9.5,False,8.4.5,False,_default_
rusachev.20181204114640,1,1543913412658,1543913705771,False,True,1,20181203_123450_Proj_1880126601,False,4.5.11,False,18.03.1.ce,testfarm-flavor-2-16-21,False,10.0.0.pb02,False,8.2.1,_default_,1.8.0_152,False,1.10.4,False,_default_,False,11.2.0,rhel7.4,False,9.5,False,8.4.5,False,_default_
